task,model,accuracy,n,parse_rate,timestamp
hearsay,qwen25,0.5220892774965485,94,1.0,2026-04-19T00:41:59.478527
personal_jurisdiction,qwen25,0.5911330049261083,50,1.0,2026-04-19T00:42:07.369250
rule_qa,qwen25,0.1214308390360479,50,1.0,2026-04-19T00:46:55.245895
textualism_tool,qwen25,0.5827664399092971,107,1.0,2026-04-19T00:47:13.364254
hearsay,qwen3,0.5094339622641509,94,1.0,2026-04-19T00:52:00.982900
personal_jurisdiction,qwen3,0.5,50,1.0,2026-04-19T00:52:07.680620
rule_qa,qwen3,0.1385336413483696,50,1.0,2026-04-19T00:57:33.348859
textualism_tool,qwen3,0.5,107,1.0,2026-04-19T00:57:50.427563
hearsay,qwen3-thinking,0.4309710078232858,94,1.0,2026-04-19T01:55:48.544572
personal_jurisdiction,qwen3-thinking,0.6633825944170773,50,1.0,2026-04-19T02:34:51.917110
rule_qa,qwen3-thinking,0.11312369993288436,50,1.0,2026-04-19T03:12:10.808172
textualism_tool,qwen3-thinking,0.47052154195011336,107,1.0,2026-04-19T04:18:42.323832
